450,0.568,0.334,4.00E-01,8.26E-01,4.41E-01
455,0.566,0.335,3.91E-01,8.21E-01,4.37E-01
460,0.566,0.335,3.93E-01,8.24E-01,4.38E-01
465,0.563,0.339,3.88E-01,8.24E-01,4.37E-01
470,0.568,0.334,3.91E-01,8.21E-01,4.35E-01
475,0.568,0.333,3.91E-01,8.25E-01,4.37E-01
480,0.565,0.333,3.85E-01,8.18E-01,4.37E-01
485,0.563,0.332,3.84E-01,8.24E-01,4.34E-01
490,0.558,0.333,3.73E-01,8.18E-01,4.36E-01
495,0.558,0.334,3.74E-01,8.19E-01,4.39E-01
500,0.56,0.334,3.68E-01,8.22E-01,4.37E-01
505,0.563,0.334,3.66E-01,8.17E-01,4.35E-01
510,0.556,0.332,3.63E-01,8.28E-01,4.36E-01
515,0.556,0.333,3.69E-01,8.17E-01,4.34E-01
520,0.556,0.331,3.67E-01,8.16E-01,4.35E-01
525,0.553,0.331,3.68E-01,8.16E-01,4.36E-01
530,0.551,0.331,3.68E-01,8.15E-01,4.38E-01
535,0.551,0.332,3.65E-01,8.19E-01,4.34E-01
540,0.553,0.331,3.75E-01,8.15E-01,4.34E-01
545,0.553,0.331,3.69E-01,8.15E-01,4.33E-01
550,0.553,0.33,3.54E-01,8.19E-01,4.41E-01
555,0.551,0.329,3.54E-01,8.13E-01,4.33E-01
560,0.553,0.332,3.47E-01,8.11E-01,4.39E-01
565,0.551,0.332,3.48E-01,8.16E-01,4.32E-01
570,0.546,0.331,3.50E-01,8.13E-01,4.32E-01
575,0.549,0.332,3.52E-01,8.11E-01,4.36E-01
580,0.549,0.332,3.51E-01,8.12E-01,4.31E-01
585,0.547,0.332,3.60E-01,8.10E-01,4.29E-01
590,0.547,0.332,3.63E-01,8.18E-01,4.29E-01
595,0.547,0.333,3.56E-01,8.10E-01,4.32E-01
600,0.547,0.331,3.53E-01,8.10E-01,4.30E-01
605,0.546,0.338,3.62E-01,8.08E-01,4.30E-01
610,0.544,0.329,3.47E-01,8.12E-01,4.29E-01
615,0.546,0.329,3.60E-01,8.09E-01,4.29E-01
620,0.546,0.329,3.53E-01,8.12E-01,4.27E-01
625,0.546,0.328,3.48E-01,8.13E-01,4.28E-01
630,0.546,0.328,3.50E-01,8.14E-01,4.27E-01
635,0.546,0.329,3.49E-01,8.09E-01,4.28E-01
640,0.542,0.328,3.47E-01,8.10E-01,4.27E-01
645,0.542,0.328,3.47E-01,8.14E-01,4.27E-01
650,0.541,0.328,3.48E-01,8.13E-01,4.26E-01
655,0.542,0.327,3.51E-01,8.09E-01,4.27E-01
660,0.542,0.327,3.47E-01,8.10E-01,4.26E-01
665,0.542,0.334,3.48E-01,8.08E-01,4.26E-01
670,0.541,0.326,3.47E-01,8.11E-01,4.26E-01
675,0.541,0.326,3.46E-01,8.12E-01,4.27E-01
680,0.544,0.325,3.65E-01,8.11E-01,4.26E-01
685,0.541,0.331,3.56E-01,8.09E-01,4.26E-01
690,0.539,0.326,3.59E-01,8.09E-01,4.26E-01
695,0.541,0.325,3.48E-01,8.08E-01,4.26E-01
700,0.541,0.325,3.49E-01,8.10E-01,4.24E-01
705,0.539,0.325,3.49E-01,8.10E-01,4.25E-01
710,0.542,0.325,3.44E-01,8.09E-01,4.24E-01
715,0.542,0.324,3.46E-01,8.10E-01,4.24E-01
720,0.541,0.324,3.42E-01,8.09E-01,4.24E-01
725,0.541,0.324,3.42E-01,8.16E-01,4.27E-01
730,0.539,0.324,3.37E-01,8.07E-01,4.24E-01
735,0.539,0.324,3.37E-01,8.07E-01,4.24E-01
740,0.541,0.323,3.38E-01,8.07E-01,4.25E-01
745,0.539,0.324,3.38E-01,8.07E-01,4.24E-01
750,0.539,0.324,3.42E-01,8.05E-01,4.27E-01
755,0.539,0.324,3.32E-01,8.09E-01,4.24E-01
760,0.537,0.324,3.32E-01,8.10E-01,4.24E-01
765,0.539,0.324,3.38E-01,8.03E-01,4.23E-01
770,0.539,0.324,3.30E-01,8.04E-01,4.25E-01
775,0.537,0.324,3.37E-01,8.02E-01,4.26E-01
780,0.539,0.324,3.30E-01,8.02E-01,4.28E-01
785,0.539,0.324,3.27E-01,8.06E-01,4.26E-01
790,0.537,0.324,3.28E-01,8.04E-01,4.24E-01
795,0.537,0.323,3.25E-01,8.03E-01,4.26E-01
800,0.537,0.323,3.18E-01,8.03E-01,4.28E-01
805,0.535,0.323,3.35E-01,8.01E-01,4.24E-01
810,0.535,0.323,3.30E-01,8.03E-01,4.26E-01
815,0.535,0.323,3.30E-01,8.03E-01,4.26E-01
820,0.537,0.323,3.25E-01,8.02E-01,4.23E-01
825,0.537,0.324,3.23E-01,8.02E-01,4.23E-01
830,0.535,0.323,3.29E-01,8.03E-01,4.22E-01
835,0.537,0.324,3.23E-01,8.03E-01,4.25E-01
840,0.535,0.323,3.25E-01,8.06E-01,4.22E-01
845,0.535,0.323,3.20E-01,8.03E-01,4.21E-01
850,0.535,0.323,3.20E-01,8.01E-01,4.20E-01
855,0.534,0.324,3.24E-01,8.14E-01,4.20E-01
860,0.534,0.323,3.23E-01,8.01E-01,4.24E-01
865,0.534,0.323,3.24E-01,8.00E-01,4.24E-01
870,0.534,0.323,3.42E-01,8.01E-01,4.23E-01
875,0.534,0.323,3.30E-01,8.01E-01,4.21E-01
880,0.537,0.323,3.25E-01,8.02E-01,4.21E-01
885,0.535,0.323,3.18E-01,8.01E-01,4.21E-01
890,0.535,0.323,3.17E-01,8.02E-01,4.22E-01
895,0.535,0.322,3.16E-01,8.02E-01,4.21E-01
900,0.534,0.322,3.19E-01,8.04E-01,4.22E-01
905,0.534,0.322,3.17E-01,8.03E-01,4.26E-01
910,0.534,0.322,3.14E-01,8.01E-01,4.23E-01
915,0.534,0.322,3.14E-01,8.00E-01,4.22E-01
920,0.534,0.322,3.15E-01,8.04E-01,4.22E-01
925,0.532,0.322,3.14E-01,8.03E-01,4.23E-01
930,0.532,0.322,3.12E-01,7.99E-01,4.20E-01
935,0.532,0.322,3.13E-01,8.03E-01,4.20E-01
940,0.535,0.322,3.14E-01,8.00E-01,4.22E-01
945,0.534,0.322,3.12E-01,8.02E-01,4.21E-01
950,0.532,0.323,3.09E-01,7.99E-01,4.19E-01
955,0.528,0.322,3.10E-01,8.03E-01,4.20E-01
960,0.532,0.322,3.11E-01,8.04E-01,4.19E-01
965,0.53,0.322,3.11E-01,8.00E-01,4.20E-01
970,0.53,0.322,3.13E-01,8.03E-01,4.19E-01
975,0.53,0.325,3.12E-01,8.02E-01,4.18E-01
980,0.528,0.321,3.18E-01,8.00E-01,4.19E-01
985,0.528,0.321,3.20E-01,7.98E-01,4.18E-01
990,0.528,0.321,3.18E-01,7.97E-01,4.19E-01
995,0.528,0.321,3.12E-01,8.05E-01,4.19E-01
