605,6.89E-01,3.63E-01,3.67E-01
610,6.89E-01,3.65E-01,3.65E-01
615,6.88E-01,3.63E-01,3.69E-01
620,6.89E-01,3.62E-01,3.67E-01
625,6.90E-01,3.62E-01,3.70E-01
630,6.90E-01,3.61E-01,3.74E-01
635,6.90E-01,3.63E-01,3.76E-01
640,6.88E-01,3.62E-01,3.64E-01
645,6.90E-01,3.61E-01,3.57E-01
650,6.88E-01,3.60E-01,3.56E-01
655,6.89E-01,3.60E-01,3.60E-01
660,6.88E-01,3.61E-01,3.58E-01
665,6.88E-01,3.62E-01,3.69E-01
670,6.88E-01,3.61E-01,3.60E-01
675,6.90E-01,3.61E-01,3.57E-01
680,6.86E-01,3.61E-01,3.63E-01
685,6.88E-01,3.62E-01,3.55E-01
690,6.88E-01,3.60E-01,3.57E-01
695,6.87E-01,3.60E-01,3.54E-01
700,6.87E-01,3.59E-01,3.57E-01
705,6.86E-01,3.60E-01,3.54E-01
710,6.86E-01,3.59E-01,3.53E-01
715,6.86E-01,3.59E-01,3.55E-01
720,6.85E-01,3.60E-01,3.52E-01
725,6.86E-01,3.59E-01,3.57E-01
730,6.85E-01,3.58E-01,3.53E-01
735,6.86E-01,3.60E-01,3.53E-01
740,6.86E-01,3.58E-01,3.50E-01
745,6.86E-01,3.60E-01,3.46E-01
750,6.85E-01,3.58E-01,3.45E-01
755,6.85E-01,3.58E-01,3.43E-01
760,6.89E-01,3.58E-01,3.46E-01
765,6.85E-01,3.58E-01,3.46E-01
770,6.84E-01,3.59E-01,3.55E-01
775,6.86E-01,3.59E-01,3.44E-01
780,6.83E-01,3.59E-01,3.43E-01
785,6.86E-01,3.58E-01,3.39E-01
790,6.85E-01,3.58E-01,3.36E-01
795,6.85E-01,3.57E-01,3.36E-01
800,6.86E-01,3.57E-01,3.33E-01
805,6.83E-01,3.58E-01,3.38E-01
810,6.84E-01,3.56E-01,3.36E-01
815,6.83E-01,3.58E-01,3.35E-01
820,6.82E-01,3.58E-01,3.34E-01
825,6.84E-01,3.56E-01,3.32E-01
830,6.83E-01,3.56E-01,3.42E-01
835,6.83E-01,3.56E-01,3.34E-01
840,6.82E-01,3.56E-01,3.29E-01
845,6.83E-01,3.59E-01,3.31E-01
850,6.80E-01,3.56E-01,3.29E-01
855,6.85E-01,3.58E-01,3.31E-01
860,6.82E-01,3.56E-01,3.30E-01
865,6.80E-01,3.56E-01,3.30E-01
870,6.80E-01,3.57E-01,3.34E-01
875,6.80E-01,3.56E-01,3.31E-01
880,6.80E-01,3.57E-01,3.30E-01
885,6.81E-01,3.57E-01,3.27E-01
890,6.81E-01,3.55E-01,3.29E-01
895,6.81E-01,3.55E-01,3.29E-01
900,6.81E-01,3.55E-01,3.30E-01
905,6.80E-01,3.57E-01,3.28E-01
910,6.80E-01,3.56E-01,3.27E-01
915,6.80E-01,3.55E-01,3.28E-01
920,6.80E-01,3.55E-01,3.30E-01
925,6.82E-01,3.55E-01,3.27E-01
930,6.80E-01,3.55E-01,3.25E-01
935,6.82E-01,3.55E-01,3.30E-01
940,6.80E-01,3.55E-01,3.24E-01
945,6.78E-01,3.54E-01,3.25E-01
950,6.79E-01,3.55E-01,3.21E-01
955,6.80E-01,3.55E-01,3.20E-01
960,6.78E-01,3.54E-01,3.21E-01
965,6.77E-01,3.55E-01,3.22E-01
970,6.80E-01,3.55E-01,3.25E-01
975,6.79E-01,3.56E-01,3.27E-01
980,6.80E-01,3.55E-01,3.23E-01
985,6.79E-01,3.54E-01,3.24E-01
990,6.78E-01,3.54E-01,3.22E-01
995,6.79E-01,3.54E-01,3.25E-01
